,Rating,Total User Ratings,Address,City,State,Lat,Long_,Restaurant
0,4.3,2167,"8020 MN-7, St Louis Park","8020 MN-7, St Louis Park",MN,44.9370512,-93.381334,Chick-fil-A Knollwood
1,4.4,1346,"2090 Snelling Ave N, Roseville","2090 Snelling Ave N, Roseville",MN,45.00427089999999,-93.1659059,Chick-fil-A
2,4.5,4137,"2500 W 79th St, Bloomington","2500 W 79th St, Bloomington",MN,44.8610149,-93.31070059999999,Chick-fil-A
3,4.3,138,"615 Washington Ave SE, Minneapolis","615 Washington Ave SE, Minneapolis",MN,44.9739768,-93.2292533,Chick-fil-A
4,4.2,335,"3005 Harbor Ln N, Plymouth","3005 Harbor Ln N, Plymouth",MN,45.0132669,-93.4623819,Chick-fil-A
5,4.4,807,"6939 Valley Creek Rd, Woodbury","6939 Valley Creek Rd, Woodbury",MN,44.92487939999999,-92.9666579,Chick-fil-A
6,4.4,743,"9751 Xenia Ave N, Brooklyn Park","9751 Xenia Ave N, Brooklyn Park",MN,45.1339491,-93.3564504,Chick-fil-A
7,4.4,2242,"11820 Fountains Way, Maple Grove","11820 Fountains Way, Maple Grove",MN,45.0942304,-93.4297126,Chick-fil-A
8,4.5,2330,"1200 County Rd 42 W, Burnsville","1200 County Rd 42 W, Burnsville",MN,44.7470673,-93.29409299999999,Chick-fil-A
9,4.3,1646,"3045 White Bear Ave, Maplewood","3045 White Bear Ave, Maplewood",MN,45.0329984,-93.0187244,Chick-fil-A Maplewood
10,4.5,1134,"3420 Promenade Ave, Eagan","3420 Promenade Ave, Eagan",MN,44.8331243,-93.1524832,Chick-fil-A
11,4.0,325,"595 Northtown Dr NE, Blaine","595 Northtown Dr NE, Blaine",MN,45.1277373,-93.2576981,Chick-fil-A
12,4.6,1949,"445 W 79th St, Chanhassen","445 W 79th St, Chanhassen",MN,44.8591608,-93.53208,Chick-fil-A
13,3.9,206,"300 Washington Ave SE, Minneapolis","300 Washington Ave SE, Minneapolis",MN,44.97280860000001,-93.2354014,Chick-fil-A
14,4.5,2089,"1770 S Robert St, West St Paul","1770 S Robert St, West St Paul",MN,44.892506,-93.0799447,Chick-fil-A
15,4.4,299,"3855 Lexington Ave N, Arden Hills","3855 Lexington Ave N, Arden Hills",MN,45.0580368,-93.1478408,Chick-fil-A
16,4.6,1990,"3590 River Rapids Dr, Coon Rapids","3590 River Rapids Dr, Coon Rapids",MN,45.19896060000001,-93.3574594,Chick-fil-A
17,4.4,1589,"7480 153rd St W, Apple Valley","7480 153rd St W, Apple Valley",MN,44.7277288,-93.21720529999999,Chick-fil-A
18,2.8,20,"4300 Glumack Dr Concourse F, St Paul","4300 Glumack Dr Concourse F, St Paul",MN,44.8836239,-93.2144246,Chick-fil-A
19,4.4,755,"354 Central Pkwy, Bloomington","354 Central Pkwy, Bloomington",MN,44.8564932,-93.2418234,Chick-fil-A
20,3.1,2127,"4910 Central Ave NE, Columbia Heights","4910 Central Ave NE, Columbia Heights",MN,45.0577832,-93.2482733,Sonic Drive-In
21,3.3,1571,"4233 Egan Dr, Savage","4233 Egan Dr, Savage",MN,44.745869,-93.3328513,Sonic Drive-In
22,3.6,2357,"2101 American Blvd W, Bloomington","2101 American Blvd W, Bloomington",MN,44.8580794,-93.3060546,Sonic Drive-In
23,3.2,1450,"1960 Suburban Ave, St Paul","1960 Suburban Ave, St Paul",MN,44.9494403,-93.0176128,Sonic Drive-In
24,3.6,1936,"229 Carson St NW, Elk River","229 Carson St NW, Elk River",MN,45.3034684,-93.55673820000001,Sonic Drive-In
27,3.9,1057,"5444 Brooklyn Blvd, Brooklyn Center","5444 Brooklyn Blvd, Brooklyn Center",MN,45.0537471,-93.32267279999999,Arby's
28,4.0,864,"1690 Park Pl Blvd, St Louis Park","1690 Park Pl Blvd, St Louis Park",MN,44.965776,-93.349947,Arby's
29,4.1,1115,"3109 White Bear Ave, Maplewood","3109 White Bear Ave, Maplewood",MN,45.035373,-93.01816099999999,Arby's
30,4.1,837,"5629 W Broadway W, Crystal","5629 W Broadway W, Crystal",MN,45.05563859999999,-93.3670535,Arby's
31,3.9,682,"5100 County Rd 101, Minnetonka","5100 County Rd 101, Minnetonka",MN,44.9117886,-93.5038687,Arby's
32,4.1,553,"21595 S Diamond Lake Rd, Rogers","21595 S Diamond Lake Rd, Rogers",MN,45.1990425,-93.5535058,Arby's
33,4.1,1114,"7744 5th Ave S, Richfield","7744 5th Ave S, Richfield",MN,44.8626594,-93.2697905,Arby's
34,3.8,683,"9240 Lyndale Ave S, Bloomington","9240 Lyndale Ave S, Bloomington",MN,44.835821,-93.28916799999999,Arby's
35,4.1,681,"19190 Freeport St NW, Elk River","19190 Freeport St NW, Elk River",MN,45.316894,-93.5625362,Arby's
36,3.9,791,"10205 6th Ave N, Plymouth","10205 6th Ave N, Plymouth",MN,44.984972,-93.4103406,Arby's
37,4.1,563,"654 Snelling Ave S, St Paul","654 Snelling Ave S, St Paul",MN,44.921734,-93.166681,Arby's
38,4.1,760,"1279 Town Centre Dr, Eagan","1279 Town Centre Dr, Eagan",MN,44.832759,-93.160822,Arby's
39,3.9,493,"1028 Meadowlands Dr, White Bear Lake","1028 Meadowlands Dr, White Bear Lake",MN,45.0797057,-93.0588327,Arby's
40,4.0,897,"2105 Snelling Ave, Roseville","2105 Snelling Ave, Roseville",MN,45.004389,-93.167575,Arby's
41,4.1,1187,"1810 University Ave W, St Paul","1810 University Ave W, St Paul",MN,44.955398,-93.17674889999999,Arby's
42,4.0,999,"1657 S Robert St, West St Paul","1657 S Robert St, West St Paul",MN,44.8963267,-93.0810627,Arby's
43,4.0,703,"10320 Baltimore St NE, Blaine","10320 Baltimore St NE, Blaine",MN,45.1577236,-93.23416,Arby's
44,4.1,798,"7525 153rd St W, Apple Valley","7525 153rd St W, Apple Valley",MN,44.728567,-93.21851699999999,Arby's
