,Address,City,State,Lat,Long_,Restaurant
90,"5532 Brooklyn Blvd, Brooklyn Center","5532 Brooklyn Blvd, Brooklyn Center",MN,45.0561488,-93.32336989999999,Taco Bell
91,"7295 University Ave NE, Fridley","7295 University Ave NE, Fridley",MN,45.1002212,-93.262396,Taco Bell
92,"919 Cambridge St, Hopkins","919 Cambridge St, Hopkins",MN,44.9346159,-93.3886251,Taco Bell
93,"14231 Nicollet Ave, Burnsville","14231 Nicollet Ave, Burnsville",MN,44.7454708,-93.278235,Taco Bell
94,"1540 Stinson Blvd NE, Minneapolis","1540 Stinson Blvd NE, Minneapolis",MN,45.0037061,-93.2279248,Taco Bell
95,"425 W Broadway, Minneapolis","425 W Broadway, Minneapolis",MN,44.9987618,-93.28523609999999,Taco Bell
96,"12320 Wayzata Blvd, Minnetonka","12320 Wayzata Blvd, Minnetonka",MN,44.9717096,-93.43409059999999,Taco Bell
97,"4240 Pheasant Ridge Dr NE, Blaine","4240 Pheasant Ridge Dr NE, Blaine",MN,45.1617307,-93.16198550000001,Taco Bell
98,"3015 Holiday Ln, Eagan","3015 Holiday Ln, Eagan",MN,44.8472871,-93.1229065,Taco Bell
99,"7715 150th St W, Apple Valley","7715 150th St W, Apple Valley",MN,44.73246839999999,-93.22175469999999,Taco Bell
100,"291 County Hwy 10, Blaine","291 County Hwy 10, Blaine",MN,45.1290017,-93.2572872,Taco Bell
101,"8450 Joiner Way, Eden Prairie","8450 Joiner Way, Eden Prairie",MN,44.8514069,-93.43208849999999,Taco Bell
102,"1325 Town Centre Dr, Eagan","1325 Town Centre Dr, Eagan",MN,44.83180979999999,-93.16373089999999,Taco Bell
103,"1484 White Bear Ave, St Paul","1484 White Bear Ave, St Paul",MN,44.9858446,-93.0248584,Taco Bell
104,"7049 10th St N, Oakdale","7049 10th St N, Oakdale",MN,44.961648,-92.9629501,Taco Bell
105,"16855 County Rd 24, Plymouth","16855 County Rd 24, Plymouth",MN,45.0203843,-93.49397379999999,Taco Bell
106,"7740 2nd Ave S, Richfield","7740 2nd Ave S, Richfield",MN,44.86219,-93.27512259999999,Taco Bell
107,"925 Washington Ave SE, Minneapolis","925 Washington Ave SE, Minneapolis",MN,44.97380400000001,-93.2248065,Burger King
108,"3201 County Rd 10, Brooklyn Center","3201 County Rd 10, Brooklyn Center",MN,45.0593656,-93.3218622,Burger King
109,"14251 Nicollet Ave, Burnsville","14251 Nicollet Ave, Burnsville",MN,44.744872,-93.27914799999999,Burger King
110,"289 57th Ave NE, Fridley","289 57th Ave NE, Fridley",MN,45.0719693,-93.2645448,Burger King
111,"2080 County Rd C West, Roseville","2080 County Rd C West, Roseville",MN,45.0202207,-93.1881155,Burger King
112,"4605 Hiawatha Ave, Minneapolis","4605 Hiawatha Ave, Minneapolis",MN,44.9187608,-93.217175,Burger King
113,"6660 Wayzata Blvd, Golden Valley","6660 Wayzata Blvd, Golden Valley",MN,44.9720859,-93.3650431,Burger King
114,"2151 Snelling Ave, Roseville","2151 Snelling Ave, Roseville",MN,45.0059108,-93.1671765,Burger King
115,"3650 Aquila Ave S, St Louis Park","3650 Aquila Ave S, St Louis Park",MN,44.9368604,-93.38858139999999,Burger King
116,"1275 Town Centre Dr, Eagan","1275 Town Centre Dr, Eagan",MN,44.8329295,-93.16023340000001,Burger King
117,"100 W 98th St, Bloomington","100 W 98th St, Bloomington",MN,44.8267286,-93.2800882,Burger King
118,"1150 Hwy 13 E, Burnsville","1150 Hwy 13 E, Burnsville",MN,44.7842929,-93.2592353,Burger King
119,"1500 Stinson Blvd NE, Minneapolis","1500 Stinson Blvd NE, Minneapolis",MN,45.0034343,-93.22801969999999,Burger King
120,"695 7th St E, St Paul","695 7th St E, St Paul",MN,44.958552,-93.07342799999999,Burger King
121,"12309 Central Ave NE, Blaine","12309 Central Ave NE, Blaine",MN,45.1947609,-93.233918,Burger King
122,"841 Maryland Ave E, St Paul","841 Maryland Ave E, St Paul",MN,44.977726,-93.06513989999999,Burger King
123,"96 W 66th St, Richfield","96 W 66th St, Richfield",MN,44.8838531,-93.28056289999999,Burger King
124,"1698 Rice St, St Paul","1698 Rice St, St Paul",MN,44.992145,-93.1053711,Burger King
125,"10801 Bloomington Ferry Rd, Bloomington","10801 Bloomington Ferry Rd, Bloomington",MN,44.8075813,-93.3834538,Burger King
126,"1330 1st Ave E, Shakopee","1330 1st Ave E, Shakopee",MN,44.8003514,-93.5084615,Burger King
127,"2400 Nicollet Ave, Minneapolis","2400 Nicollet Ave, Minneapolis",MN,44.9589606,-93.27824500000001,McDonald's
